,scaled_input_V1,scaled_input_V6,scaled_input_V10,scaled_input_V12,scaled_input_V13,scaled_input_V14,scaled_input_V15,scaled_input_target,origin_input_V1,origin_input_V6,origin_input_V10,origin_input_V12,origin_input_V13,origin_input_V14,origin_input_V15,origin_input_target,scaled_cf_V1,scaled_cf_V6,scaled_cf_V10,scaled_cf_V12,scaled_cf_V13,scaled_cf_V14,scaled_cf_V15,scaled_cf_target,origin_cf_V1,origin_cf_V6,origin_cf_V10,origin_cf_V12,origin_cf_V13,origin_cf_V14,origin_cf_V15,origin_cf_target,running_time,Found,ground_truth,prediction
0,0.29333333333333333,0.04075624290578888,0.5,0.06601340897369778,0.0,0.0,0.0,0.0,40.0,75.00000000000007,16.0,259.0,1.0,-1.0,0.0,0.0,0.29333333333333333,0.04075624290578888,0.5,0.672220908,1.0,0.0,0.0,N,40.0,75.00000000000007,16.0,2609.8726812239997,43.0,-1.0,0.0,N,0.03644704818725586,N,0.0,Y
0,0.29333333333333333,0.04075624290578888,0.5,0.06601340897369778,0.0,0.0,0.0,0.0,40.0,75.00000000000007,16.0,259.0,1.0,-1.0,0.0,0.0,0.29333333333333333,0.04075624290578888,0.5,0.06601340897369778,0.1,0.0,0.0,N,40.0,75.00000000000007,16.0,259.0,5.2,-1.0,0.0,N,0.010506153106689453,N,0.0,Y
0,0.29333333333333333,0.04075624290578888,0.5,0.06601340897369778,0.0,0.0,0.0,0.0,40.0,75.00000000000007,16.0,259.0,1.0,-1.0,0.0,0.0,0.29333333333333333,0.287892663,0.5,0.06601340897369778,0.0,0.0,0.0,N,40.0,20976.809865887997,16.0,259.0,1.0,-1.0,0.0,N,0.011014938354492188,N,0.0,Y
0,0.29333333333333333,0.04075624290578888,0.5,0.06601340897369778,0.0,0.0,0.0,0.0,40.0,75.00000000000007,16.0,259.0,1.0,-1.0,0.0,0.0,0.29333333333333333,0.851016614,0.5,0.06601340897369778,0.0,0.0,0.0,N,40.0,68603.581145664,16.0,259.0,1.0,-1.0,0.0,N,0.010696887969970703,N,0.0,Y
0,0.29333333333333333,0.04075624290578888,0.5,0.06601340897369778,0.0,0.0,0.0,0.0,40.0,75.00000000000007,16.0,259.0,1.0,-1.0,0.0,0.0,0.29333333333333333,0.04075624290578888,0.5,0.06601340897369778,0.2,0.2,0.0,N,40.0,75.00000000000007,16.0,259.0,9.4,167.6,0.0,N,0.01032710075378418,N,0.0,Y
0,0.1466666666666667,0.039928584941354525,0.06666666666666668,0.08200103145951522,0.0,0.0,0.0,1.0,29.0,5.000000000000122,3.0,321.0,1.0,-1.0,0.0,1.0,0.1466666666666667,0.039928584941354525,0.06666666666666668,0.08200103145951522,0.7,0.0,0.0,N,29.0,5.000000000000122,3.0,321.0,30.400000000000002,-1.0,0.0,N,0.009680032730102539,Y,1.0,Y
0,0.1466666666666667,0.039928584941354525,0.06666666666666668,0.08200103145951522,0.0,0.0,0.0,1.0,29.0,5.000000000000122,3.0,321.0,1.0,-1.0,0.0,1.0,0.19059955,0.039928584941354525,0.4876753,0.08200103145951522,0.0,0.0,0.0,N,32.29496625,5.000000000000122,15.630259,321.0,1.0,-1.0,0.0,N,0.010701179504394531,Y,1.0,Y
0,0.1466666666666667,0.039928584941354525,0.06666666666666668,0.08200103145951522,0.0,0.0,0.0,1.0,29.0,5.000000000000122,3.0,321.0,1.0,-1.0,0.0,1.0,0.1466666666666667,0.039928584941354525,0.06666666666666668,0.08200103145951522,0.7,0.0,0.0,N,29.0,5.000000000000122,3.0,321.0,30.400000000000002,-1.0,0.0,N,0.009765863418579102,Y,1.0,Y
0,0.1466666666666667,0.039928584941354525,0.06666666666666668,0.08200103145951522,0.0,0.0,0.0,1.0,29.0,5.000000000000122,3.0,321.0,1.0,-1.0,0.0,1.0,0.69691013,0.039928584941354525,0.06666666666666668,0.08200103145951522,0.0,0.0,0.7,N,70.26825975,5.000000000000122,3.0,321.0,1.0,-1.0,40.6,N,0.011532068252563477,Y,1.0,Y
0,0.1466666666666667,0.039928584941354525,0.06666666666666668,0.08200103145951522,0.0,0.0,0.0,1.0,29.0,5.000000000000122,3.0,321.0,1.0,-1.0,0.0,1.0,0.1466666666666667,0.039928584941354525,0.251805,0.041709956,0.0,0.0,0.0,N,29.0,5.000000000000122,8.55415,164.751209368,1.0,-1.0,0.0,N,0.009910106658935547,Y,1.0,Y
