,scaled_input_date,scaled_input_period,scaled_input_nswprice,scaled_input_nswdemand,scaled_input_vicprice,scaled_input_vicdemand,scaled_input_transfer,scaled_input_target,origin_input_date,origin_input_period,origin_input_nswprice,origin_input_nswdemand,origin_input_vicprice,origin_input_vicdemand,origin_input_transfer,origin_input_target,scaled_cf_date,scaled_cf_period,scaled_cf_nswprice,scaled_cf_nswdemand,scaled_cf_vicprice,scaled_cf_vicdemand,scaled_cf_transfer,scaled_cf_target,origin_cf_date,origin_cf_period,origin_cf_nswprice,origin_cf_nswdemand,origin_cf_vicprice,origin_cf_vicdemand,origin_cf_transfer,origin_cf_target,running_time,Found,ground_truth,prediction
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,Y,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N,1.0,1.0,0.963612,1.0,1.0,1.0,0.959211,N,1.4317634105682373,Y,Y,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,Y,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N,1.0,1.0,0.963612,1.0,1.0,1.0,0.959211,N,1.388291835784912,Y,Y,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,Y,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N,1.0,1.0,0.963612,1.0,1.0,1.0,0.959211,N,1.3851428031921387,Y,Y,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,Y,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N,1.0,1.0,0.963612,1.0,1.0,1.0,0.959211,N,1.4035968780517578,Y,Y,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,Y,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N,1.0,1.0,0.963612,1.0,1.0,1.0,0.959211,N,1.3789513111114502,Y,Y,Y
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,N,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,,,,,,,,,,,,,,,,,0.6368792057037354,N,Y,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,N,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,,,,,,,,,,,,,,,,,0.6434190273284912,N,Y,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,N,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,,,,,,,,,,,,,,,,,0.6271178722381592,N,Y,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,N,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,,,,,,,,,,,,,,,,,0.6217038631439209,N,Y,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,N,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,,,,,,,,,,,,,,,,,0.6231820583343506,N,Y,N
0,0.014247,0.680851,0.04212380086590868,0.494942,0.003467,0.422915,0.43255550655695146,N,0.014247,0.680851,0.040591,0.494942,0.003467,0.422915,0.414912,N,,,,,,,,,,,,,,,,,0.6549339294433594,N,N,N
