,scaled_input_MedInc,scaled_input_HouseAge,scaled_input_AveRooms,scaled_input_AveBedrms,scaled_input_Population,scaled_input_AveOccup,scaled_input_Latitude,scaled_input_Longitude,scaled_input_target,origin_input_MedInc,origin_input_HouseAge,origin_input_AveRooms,origin_input_AveBedrms,origin_input_Population,origin_input_AveOccup,origin_input_Latitude,origin_input_Longitude,origin_input_target,scaled_cf_MedInc,scaled_cf_HouseAge,scaled_cf_AveRooms,scaled_cf_AveBedrms,scaled_cf_Population,scaled_cf_AveOccup,scaled_cf_Latitude,scaled_cf_Longitude,scaled_cf_target,origin_cf_MedInc,origin_cf_HouseAge,origin_cf_AveRooms,origin_cf_AveBedrms,origin_cf_Population,origin_cf_AveOccup,origin_cf_Latitude,origin_cf_Longitude,origin_cf_target,running_time,Found,ground_truth,prediction
0,0.22947959338491886,0.9999999999999999,0.03414003934110735,0.021406705486107562,0.06166398207157364,0.002074261886166336,0.55047821466525,0.19023904382470036,1.0,3.8274000000000004,52.0,5.341959334565619,1.055452865064695,1769.0,3.269870609981516,37.720000000000006,-122.44,1.0,0.22947959338491886,0.9999999999999999,0.03263924325903075,0.021406705486107562,0.06166398207157364,0.0008023303551693377,0.55047821466525,0.19023904382470036,N,3.8274000000000004,52.0,5.144323731531542,1.055452865064695,1769.0,1.6893163077582465,37.720000000000006,-122.44,N,0.06221795082092285,Y,1.0,Y
0,0.22947959338491886,0.9999999999999999,0.03414003934110735,0.021406705486107562,0.06166398207157364,0.002074261886166336,0.55047821466525,0.19023904382470036,1.0,3.8274000000000004,52.0,5.341959334565619,1.055452865064695,1769.0,3.269870609981516,37.720000000000006,-122.44,1.0,0.22947959338491886,0.9999999999999999,0.032685535331571466,0.021406705486107562,0.06166398207157364,0.0014191234746213928,0.55047821466525,0.19023904382470036,N,3.8274000000000004,52.0,5.150419803997045,1.055452865064695,1769.0,2.455768742322476,37.720000000000006,-122.44,N,0.0466151237487793,Y,1.0,Y
0,0.22947959338491886,0.9999999999999999,0.03414003934110735,0.021406705486107562,0.06166398207157364,0.002074261886166336,0.55047821466525,0.19023904382470036,1.0,3.8274000000000004,52.0,5.341959334565619,1.055452865064695,1769.0,3.269870609981516,37.720000000000006,-122.44,1.0,0.22947959338491886,0.9999999999999999,0.031990622564363774,0.021406705486107562,0.06166398207157364,0.0008035900556746208,0.55047821466525,0.19023904382470036,N,3.8274000000000004,52.0,5.058908701693833,1.055452865064695,1769.0,1.690881663286132,37.720000000000006,-122.44,N,0.06441020965576172,Y,1.0,Y
0,0.22947959338491886,0.9999999999999999,0.03414003934110735,0.021406705486107562,0.06166398207157364,0.002074261886166336,0.55047821466525,0.19023904382470036,1.0,3.8274000000000004,52.0,5.341959334565619,1.055452865064695,1769.0,3.269870609981516,37.720000000000006,-122.44,1.0,0.22947959338491886,0.9999999999999999,0.03205679770384099,0.021406705486107562,0.06166398207157364,0.0007988703067500524,0.55047821466525,0.19023904382470036,N,3.8274000000000004,52.0,5.067623119163759,1.055452865064695,1769.0,1.685016709641738,37.720000000000006,-122.44,N,0.0703883171081543,Y,1.0,Y
0,0.22947959338491886,0.9999999999999999,0.03414003934110735,0.021406705486107562,0.06166398207157364,0.002074261886166336,0.55047821466525,0.19023904382470036,1.0,3.8274000000000004,52.0,5.341959334565619,1.055452865064695,1769.0,3.269870609981516,37.720000000000006,-122.44,1.0,0.22947959338491886,0.9999999999999999,0.0328080345251179,0.021406705486107562,0.06166398207157364,0.001418098101742055,0.55047821466525,0.19023904382470036,N,3.8274000000000004,52.0,5.166551377284629,1.055452865064695,1769.0,2.4544945719160305,37.720000000000006,-122.44,N,0.04789614677429199,Y,1.0,Y
0,0.33999531040951164,0.49019607843137253,0.04044630591748792,0.018375552483498512,0.04429581903494642,0.0019661030318289642,0.5302869287991498,0.2370517928286855,1.0,5.4299,26.0,6.172413793103448,0.9532019704433498,1272.9999999999998,3.1354679802955663,37.53,-121.96999999999998,1.0,0.33999531040951164,0.49019607843137253,0.04044630591748792,0.01624620870697062,0.04429581903494642,0.0019661030318289642,0.5302869287991498,0.2370517928286855,N,5.4299,26.0,6.172413793103448,0.8813721070484756,1272.9999999999998,3.1354679802955663,37.53,-121.96999999999998,N,0.048451900482177734,Y,1.0,Y
0,0.33999531040951164,0.49019607843137253,0.04044630591748792,0.018375552483498512,0.04429581903494642,0.0019661030318289642,0.5302869287991498,0.2370517928286855,1.0,5.4299,26.0,6.172413793103448,0.9532019704433498,1272.9999999999998,3.1354679802955663,37.53,-121.96999999999998,1.0,0.33999531040951164,0.49019607843137253,0.04044630591748792,0.016429924553865206,0.04429581903494642,0.0019661030318289642,0.5302869287991498,0.2370517928286855,N,5.4299,26.0,6.172413793103448,0.8875694549503863,1272.9999999999998,3.1354679802955663,37.53,-121.96999999999998,N,0.047883033752441406,Y,1.0,Y
0,0.33999531040951164,0.49019607843137253,0.04044630591748792,0.018375552483498512,0.04429581903494642,0.0019661030318289642,0.5302869287991498,0.2370517928286855,1.0,5.4299,26.0,6.172413793103448,0.9532019704433498,1272.9999999999998,3.1354679802955663,37.53,-121.96999999999998,1.0,0.33999531040951164,0.49019607843137253,0.04044630591748792,0.016523080218327997,0.04429581903494642,0.0019661030318289642,0.5302869287991498,0.2370517928286855,N,5.4299,26.0,6.172413793103448,0.8907119060315978,1272.9999999999998,3.1354679802955663,37.53,-121.96999999999998,N,0.048993825912475586,Y,1.0,Y
0,0.33999531040951164,0.49019607843137253,0.04044630591748792,0.018375552483498512,0.04429581903494642,0.0019661030318289642,0.5302869287991498,0.2370517928286855,1.0,5.4299,26.0,6.172413793103448,0.9532019704433498,1272.9999999999998,3.1354679802955663,37.53,-121.96999999999998,1.0,0.33999531040951164,0.49019607843137253,0.04044630591748792,0.01641637446975515,0.04429581903494642,0.0019661030318289642,0.5302869287991498,0.2370517928286855,N,5.4299,26.0,6.172413793103448,0.887112365446407,1272.9999999999998,3.1354679802955663,37.53,-121.96999999999998,N,0.04898405075073242,Y,1.0,Y
0,0.33999531040951164,0.49019607843137253,0.04044630591748792,0.018375552483498512,0.04429581903494642,0.0019661030318289642,0.5302869287991498,0.2370517928286855,1.0,5.4299,26.0,6.172413793103448,0.9532019704433498,1272.9999999999998,3.1354679802955663,37.53,-121.96999999999998,1.0,0.33999531040951164,0.49019607843137253,0.04044630591748792,0.01633198333917548,0.04429581903494642,0.0019661030318289642,0.5302869287991498,0.2370517928286855,N,5.4299,26.0,6.172413793103448,0.8842655713081862,1272.9999999999998,3.1354679802955663,37.53,-121.96999999999998,N,0.04901123046875,Y,1.0,Y
