,scaled_input_date,scaled_input_period,scaled_input_nswprice,scaled_input_nswdemand,scaled_input_vicprice,scaled_input_vicdemand,scaled_input_transfer,scaled_input_target,origin_input_date,origin_input_period,origin_input_nswprice,origin_input_nswdemand,origin_input_vicprice,origin_input_vicdemand,origin_input_transfer,origin_input_target,scaled_cf_date,scaled_cf_period,scaled_cf_nswprice,scaled_cf_nswdemand,scaled_cf_vicprice,scaled_cf_vicdemand,scaled_cf_transfer,scaled_cf_target,origin_cf_date,origin_cf_period,origin_cf_nswprice,origin_cf_nswdemand,origin_cf_vicprice,origin_cf_vicdemand,origin_cf_transfer,origin_cf_target,running_time,Found,ground_truth,prediction
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,1.0,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,1.0,0.460865,0.723404,0.05291928142430788,0.5865438977522308,0.03484698641475929,0.438374,0.4266120801366956,N,0.460865,0.723404,0.05099365461184017,0.5865438977522308,0.03484698641475929,0.438374,0.409211,N,0.08570718765258789,Y,1.0,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,1.0,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,1.0,0.460865,0.723404,0.05050273854798028,0.606665,0.029276693421592413,0.438374,0.4266120801366956,N,0.460865,0.723404,0.04866504489769638,0.606665,0.029276693421592413,0.438374,0.409211,N,0.08337163925170898,Y,1.0,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,1.0,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,1.0,0.460865,0.7496386447546098,0.04961235945973683,0.606665,0.009412,0.438374,0.4266120801366956,N,0.460865,0.7496386447546098,0.047807064923715926,0.606665,0.009412,0.438374,0.409211,N,0.0818779468536377,Y,1.0,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,1.0,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,1.0,0.460865,0.723404,0.05003256769433399,0.606665,0.029900898234980194,0.438374,0.4266120801366956,N,0.460865,0.723404,0.048211982621072576,0.606665,0.029900898234980194,0.438374,0.409211,N,0.727736234664917,Y,1.0,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,1.0,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,1.0,0.460865,0.723404,0.052053727239070285,0.606665,0.029471652127767884,0.438374,0.4266120801366956,N,0.460865,0.723404,0.050159596212295,0.606665,0.029471652127767884,0.438374,0.409211,N,0.10465502738952637,Y,1.0,Y
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,1.0,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,1.0,0.013053,1.0,0.07600138505073464,0.534216,0.003467,0.4314271694243313,0.43255550655695146,Y,0.013053,1.0,0.07323584665150852,0.534216,0.003467,0.4314271694243313,0.414912,Y,0.2372450828552246,Y,1.0,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,1.0,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,1.0,0.013053,1.0,0.07590997661079614,0.534216,0.003467,0.42816009784032577,0.43255550655695146,Y,0.013053,1.0,0.0731477643818825,0.534216,0.003467,0.42816009784032577,0.414912,Y,0.22820615768432617,Y,1.0,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,1.0,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,1.0,0.013053,1.0,0.07738864946625232,0.534216,0.003467,0.422915,0.43255550655695146,Y,0.013053,1.0,0.07457263128947433,0.534216,0.003467,0.422915,0.414912,Y,0.2406940460205078,Y,1.0,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,1.0,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,1.0,0.013053,1.0,0.07509484904651341,0.534216,-0.0049474988093831,0.422915,0.43255550655695146,Y,0.013053,1.0,0.07236229767940888,0.534216,-0.0049474988093831,0.422915,0.414912,Y,0.23948001861572266,Y,1.0,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,1.0,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,1.0,0.013053,1.0,0.07622765975464106,0.534216,0.003467,0.422915,0.43255550655695146,Y,0.013053,1.0,0.0734538876714892,0.534216,0.003467,0.422915,0.414912,Y,0.22030091285705566,Y,1.0,N
0,0.014247,0.680851,0.04212380086590868,0.494942,0.003467,0.422915,0.43255550655695146,0.0,0.014247,0.680851,0.040591,0.494942,0.003467,0.422915,0.414912,0.0,0.014247,0.680851,0.07168165079547088,0.494942,0.003467,0.422915,0.4167684391523893,Y,0.014247,0.680851,0.0690732988863253,0.494942,0.003467,0.422915,0.3997688712878026,Y,0.26968908309936523,Y,0.0,N
0,0.014247,0.680851,0.04212380086590868,0.494942,0.003467,0.422915,0.43255550655695146,0.0,0.014247,0.680851,0.040591,0.494942,0.003467,0.422915,0.414912,0.0,0.014247,0.680851,0.070341276912585,0.494942,-0.008174935209240638,0.422915,0.4258815252851049,Y,0.014247,0.680851,0.06778169852828987,0.494942,-0.008174935209240638,0.422915,0.40851024375025086,Y,0.2627840042114258,Y,0.0,N
0,0.014247,0.680851,0.04212380086590868,0.494942,0.003467,0.422915,0.43255550655695146,0.0,0.014247,0.680851,0.040591,0.494942,0.003467,0.422915,0.414912,0.0,0.014247,0.680851,0.07185641411705253,0.494942,0.003467,0.4313461111695466,0.4251321190525274,Y,0.014247,0.680851,0.06924170292016123,0.494942,0.003467,0.4313461111695466,0.4077914050484939,Y,0.2602558135986328,Y,0.0,N
