x1,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
50000.0,26,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-69777.0,0.0,0.0,0.0,0.0,0.0,70000.0,0.0,0.0,0.0,0.0
290000.0,39,1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-9.0,698.0,728.0,-2.0,-2.0,-2.0,707.0,730.0,0.0,0.0,0.0,0.0
200000.0,27,-1.0,-1.0,2.0,0.0,0.0,-1.0,184.0,2250.0,823.0,823.0,-658.0,1266.0,2250.0,0.0,0.0,0.0,1924.0,0.0
130000.0,34,2.0,2.0,2.0,2.0,2.0,2.0,28967.0,30776.0,33071.0,32336.0,34186.0,34588.0,2500.0,3000.0,0.0,2600.0,1000.0,1500.0
30000.0,42,5.0,4.0,3.0,2.0,0.0,0.0,32755.0,31973.0,30937.0,29999.0,29214.0,29846.0,0.0,0.0,6.0,1054.0,1111.0,0.0
100000.0,28,2.0,0.0,0.0,0.0,0.0,0.0,99627.0,101079.0,69971.0,60824.0,60969.0,59650.0,3796.0,3041.0,2500.0,2600.0,2171.0,2600.0
200000.0,36,2.0,2.0,2.0,0.0,0.0,0.0,89082.0,91055.0,89064.0,90019.0,92850.0,98666.0,4000.0,0.0,3000.0,4000.0,7000.0,4000.0
500000.0,30,0.0,0.0,0.0,0.0,0.0,0.0,135634.0,135796.0,133712.0,136069.0,67837.0,69514.0,5034.0,6000.0,5355.0,3500.0,2513.0,5000.0
400000.0,32,0.0,0.0,0.0,0.0,0.0,0.0,271974.0,337765.0,138235.0,136102.0,33340.0,63684.0,100000.0,10007.0,3601.0,22000.0,35802.0,2013.0
90000.0,35,2.0,0.0,0.0,0.0,0.0,2.0,63426.0,57922.0,55010.0,52540.0,56236.0,40922.0,2700.0,2500.0,1900.0,4600.0,0.0,1600.0
100000.0,48,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,6345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150000.0,35,0.0,0.0,0.0,0.0,0.0,0.0,102007.0,93116.0,84302.0,74986.0,67369.0,60434.0,5000.0,5045.0,2563.0,3006.0,3000.0,2218.0
60000.0,26,0.0,0.0,0.0,0.0,0.0,0.0,27402.0,26455.0,28017.0,25011.0,28143.0,24712.0,1500.0,4022.0,1500.0,3500.0,1000.0,1000.0
200000.0,31,-1.0,-1.0,-1.0,0.0,0.0,-1.0,3702.0,25548.0,10594.0,7969.0,2865.0,5625.0,25678.0,10623.0,25.0,16.0,6000.0,19.0
150000.0,37,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,22109.0,10876.0,10268.0,5872.0,3068.0,2181.0,10943.0,10273.0,5978.0,3068.0,2181.0,3242.0
200000.0,52,0.0,0.0,0.0,0.0,0.0,0.0,290122.0,274868.0,280828.0,286702.0,293038.0,299317.0,7100.0,7500.0,7500.0,8000.0,8000.0,4500.0
160000.0,50,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3.0,3.0,3.0,3.0,13333.0,0.0,13333.0,13333.0,13333.0,26663.0,0.0,11913.0
20000.0,27,0.0,0.0,0.0,0.0,0.0,0.0,5635.0,5735.0,4941.0,4236.0,3200.0,1375.0,1186.0,1300.0,1246.0,264.0,375.0,700.0
120000.0,44,0.0,0.0,0.0,0.0,0.0,0.0,92007.0,87939.0,82094.0,59105.0,53442.0,46775.0,5417.0,2847.0,2066.0,1919.0,2200.0,0.0
70000.0,38,0.0,0.0,0.0,0.0,0.0,0.0,63455.0,54722.0,56062.0,82305.0,42308.0,40507.0,2057.0,2322.0,1631.0,2942.0,1783.0,1723.0
150000.0,26,2.0,2.0,2.0,2.0,2.0,0.0,69716.0,72156.0,70507.0,59123.0,39386.0,20561.0,5211.0,111.0,2371.0,0.0,702.0,341.0
200000.0,49,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-5.0,728.0,0.0,0.0,0.0,0.0,733.0,0.0,0.0,0.0,0.0,0.0
210000.0,45,2.0,3.0,4.0,4.0,5.0,6.0,115785.0,122904.0,129847.0,137277.0,145533.0,154105.0,10478.0,10478.0,11078.0,11078.0,11678.0,10478.0
