MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
2.5504,26,3.725552050473186,1.1093585699263933,2742.0,2.8832807570977916,33.96,-118.36
1.8413,28,5.041958041958042,1.1643356643356644,832.0,2.909090909090909,39.1,-121.57
8.2831,22,7.058988764044944,1.0449438202247192,6897.0,2.7676565008025684,33.75,-118.42
5.2043,15,5.551194539249146,0.9778156996587031,1408.0,2.4027303754266214,35.64,-117.68
2.5719,32,4.370253164556962,1.0316455696202531,2677.0,4.235759493670886,33.9,-118.19
4.1365,27,4.014443500424809,1.0067969413763806,1945.0,1.6525063721325404,34.02,-118.49
7.8528,17,6.4,0.99,959.0,2.3975,37.31,-122.08
2.788,42,3.6946902654867255,0.9601769911504425,1997.0,4.418141592920354,34.04,-118.18
3.1493,24,7.307322929171669,1.460984393757503,1721.0,2.0660264105642256,33.81,-116.54
2.3071,41,4.444253859348199,1.169811320754717,2366.0,4.058319039451115,34.12,-118.19
3.6875,17,10.03370786516854,1.9303370786516854,853.0,1.9168539325842697,33.84,-116.52
2.3203,21,4.439446366782007,0.9619377162629758,684.0,2.366782006920415,32.83,-116.93
3.0179,7,5.7924528301886795,1.0919811320754718,1350.0,3.1839622641509435,36.71,-119.72
2.5417,22,3.103448275862069,1.0251989389920424,2226.0,2.952254641909814,34.13,-118.25
4.7917,34,6.112328767123287,0.9863013698630136,1035.0,2.835616438356164,37.25,-121.92
2.2538,7,3.2222222222222223,1.159041394335512,1057.0,2.3028322440087146,34.95,-120.45
2.8542,52,5.457831325301205,0.9939759036144579,257.0,1.5481927710843373,38.56,-121.44
4.4122,40,5.605113636363637,1.0852272727272727,774.0,2.1988636363636362,34.16,-118.37
2.8924,52,5.355353075170843,1.0455580865603644,1169.0,2.662870159453303,36.67,-121.65
1.9167,16,6.278829604130809,1.7814113597246128,1687.0,2.9036144578313254,33.87,-116.54
0.9,52,2.237474262182567,1.0535346602608098,3260.0,2.237474262182567,37.8,-122.41
7.0516,37,5.375609756097561,1.0439024390243903,807.0,1.9682926829268292,33.62,-117.93
1.6559,48,5.161662817551963,1.0,1363.0,3.147806004618938,33.99,-118.31
4.1111,10,5.904051172707889,1.3198294243070363,1045.0,2.228144989339019,38.03,-121.88
3.1792,31,3.712328767123288,0.9715489989462592,2660.0,2.802950474183351,33.79,-117.86
3.0132,47,5.606217616580311,1.0259067357512954,455.0,2.3575129533678756,34.03,-118.32
4.3081,20,4.198609731876862,0.9990069513406157,2334.0,2.3177755710029793,37.3,-121.96
3.4455,10,5.512027491408935,1.092783505154639,1395.0,2.3969072164948453,33.14,-117.11
3.0354,23,4.327217125382263,1.007645259938838,1554.0,2.376146788990826,37.96,-121.34
2.3274,29,3.8402366863905324,0.9053254437869822,835.0,2.470414201183432,37.7,-122.11
2.9803,30,4.8478260869565215,1.075098814229249,1753.0,3.464426877470356,34.21,-118.4
1.9844,32,4.0,1.0375,991.0,6.19375,37.48,-122.2
3.625,52,2.2222222222222223,0.4444444444444444,74.0,8.222222222222221,38.51,-121.47
3.2632,43,5.613744075829384,0.9786729857819905,944.0,2.2369668246445498,37.66,-121.0
5.0808,24,5.008264462809917,1.037190082644628,799.0,3.3016528925619837,37.44,-121.91
7.6486,17,7.043879907621247,0.9942263279445728,2771.0,3.199769053117783,33.93,-117.88
6.6354,41,6.3893280632411065,1.0671936758893281,1251.0,2.472332015810277,37.45,-122.13
6.3892,17,6.438953488372093,1.001937984496124,2557.0,2.477713178294574,37.52,-122.32
3.524,45,5.213963963963964,1.0157657657657657,1006.0,2.265765765765766,37.72,-122.13
2.6036,44,3.9505494505494507,1.0472527472527473,1831.0,2.012087912087912,37.97,-122.53
2.3669,50,3.994891443167305,1.053639846743295,2535.0,3.2375478927203063,34.29,-119.3
4.6591,15,3.445945945945946,0.8513513513513513,138.0,1.864864864864865,37.4,-122.11
5.1515,17,5.183839479392625,1.0363340563991323,5279.0,2.8627982646420826,34.02,-118.11
2.5365,10,4.873517786561265,1.1040843214756257,2310.0,3.0434782608695654,32.86,-116.91
7.1148,28,6.829971181556196,1.0144092219020173,832.0,2.397694524495677,33.63,-117.9
4.6864,35,6.4504950495049505,1.1064356435643565,1555.0,3.849009900990099,34.29,-118.44
4.0526,36,5.639506172839506,1.0962962962962963,1425.0,3.5185185185185186,33.95,-117.43
5.2146,16,28.432142857142857,4.0964285714285715,879.0,3.1392857142857142,34.27,-117.19
4.3077,31,4.443661971830986,1.056338028169014,819.0,1.9225352112676057,34.02,-118.38
3.8292,21,5.763527054108216,1.0801603206412826,1387.0,2.779559118236473,33.1,-117.09
7.9976,52,7.742465753424658,1.0438356164383562,924.0,2.5315068493150683,34.13,-118.13
0.8075,52,2.490322580645161,1.0580645161290323,346.0,2.232258064516129,37.81,-122.28
5.1784,12,6.25,0.98046875,685.0,2.67578125,33.87,-117.86
0.7683,38,4.253561253561253,1.0541310541310542,1144.0,3.259259259259259,37.76,-122.19
2.775,50,2.9743589743589745,1.329059829059829,382.0,1.6324786324786325,33.83,-118.31
2.9571,18,4.968790637191157,1.033810143042913,2831.0,3.681404421326398,33.77,-118.3
1.4063,51,4.446428571428571,1.0267857142857142,368.0,3.2857142857142856,34.06,-117.73
3.5606,30,4.851694915254237,1.1080508474576272,1272.0,2.694915254237288,32.84,-117.18
1.7137,16,7.070844686648502,1.651226158038147,1046.0,2.8501362397820165,32.74,-116.35
3.1642,24,3.2353966870095903,1.0392327811682651,1764.0,1.5379250217959894,34.03,-118.41
2.3844,9,4.140442132639792,1.013003901170351,1929.0,2.5084525357607284,38.66,-121.37
2.2115,19,5.242816091954023,1.0847701149425288,1717.0,2.4669540229885056,33.74,-116.96
5.0915,31,5.9530791788856305,0.9882697947214076,867.0,2.5425219941348973,37.98,-122.0
2.5833,37,4.158536585365853,0.9829268292682927,1839.0,4.485365853658537,33.92,-118.21
9.6023,21,8.286652078774617,1.0765864332603938,1246.0,2.726477024070022,32.79,-117.06
1.8829,28,2.1992417860151643,1.0657118786857624,5840.0,2.459983150800337,34.07,-118.3
0.78,10,3.835766423357664,1.083941605839416,927.0,3.383211678832117,36.33,-119.28
3.2589,18,6.372146118721461,1.1232876712328768,1187.0,2.7100456621004567,38.32,-120.88
3.7841,28,5.413105413105413,1.1424501424501425,918.0,2.6153846153846154,37.99,-122.01
3.2396,25,3.501700680272109,1.120748299319728,1349.0,2.29421768707483,34.03,-118.44
8.0448,35,7.672176308539945,0.9972451790633609,1001.0,2.757575757575758,37.88,-122.12
4.0893,31,3.6457800511508953,1.0281329923273657,1410.0,1.80306905370844,34.01,-118.48
5.5631,4,5.486666666666666,1.07,859.0,2.8633333333333333,33.71,-117.77
4.0727,18,3.9578454332552693,1.079625292740047,2276.0,2.6651053864168617,33.9,-118.36
6.2892,22,6.127214170692431,0.9597423510466989,2118.0,3.4106280193236715,37.43,-121.87
2.5195,23,3.331476323119777,1.0041782729805013,3074.0,4.281337047353761,36.9,-121.73
4.25,18,6.222360248447205,1.0260869565217392,2497.0,3.101863354037267,37.32,-120.61
4.1429,39,4.732793522267206,0.979757085020243,612.0,2.477732793522267,34.19,-118.41
3.3929,13,8.580645161290322,1.7903225806451613,214.0,3.4516129032258065,39.14,-122.7
3.0777,23,4.941714285714285,1.1817142857142857,1844.0,2.107428571428571,36.97,-121.96
4.3173,32,5.850948509485095,1.065040650406504,981.0,2.658536585365854,38.03,-122.36
3.6639,21,5.584016393442623,1.0532786885245902,1466.0,3.0040983606557377,34.98,-120.43
3.7568,4,5.727411944869831,1.1439509954058193,6666.0,2.5520673813169985,33.22,-117.3
2.4398,22,5.503105590062112,1.0745341614906831,595.0,3.6956521739130435,37.09,-120.65
1.8269,32,4.445544554455446,1.4653465346534653,825.0,2.722772277227723,39.24,-120.02
3.6154,52,5.616016427104722,1.1478439425051334,1076.0,2.209445585215606,38.06,-122.21
