MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
2.1641,31,3.809045226130653,1.0050251256281406,1820.0,4.57286432160804,33.93,-118.18
5.0151,4,4.896984924623116,1.150753768844221,868.0,2.180904522613065,34.31,-118.61
5.5872,17,6.469483568075117,0.9929577464788732,1228.0,2.8826291079812205,37.96,-121.99
1.4024,26,4.332236842105263,1.230263157894737,1025.0,3.3717105263157894,35.38,-118.99
1.5536,25,4.088785046728972,1.0,931.0,4.350467289719626,36.6,-120.19
2.2988,35,3.635434412265758,1.1073253833049403,2248.0,3.8296422487223167,33.95,-118.21
2.325,52,4.4731457800511505,1.0792838874680306,837.0,2.1406649616368285,39.22,-121.06
4.6635,13,6.231527093596059,0.9917898193760263,1639.0,2.691297208538588,37.51,-120.83
1.4205,28,31.0625,8.5,98.0,2.0416666666666665,35.72,-118.59
2.4022,47,4.741847826086956,1.0081521739130435,1079.0,2.932065217391304,34.01,-118.32
5.5228,14,7.104627766599598,1.0221327967806841,1505.0,3.028169014084507,37.76,-120.79
2.6678,34,5.076219512195122,1.1021341463414633,1592.0,2.426829268292683,32.77,-117.01
3.7303,31,4.840175953079179,1.0439882697947214,1532.0,2.2463343108504397,33.84,-117.88
5.0526,36,6.088495575221239,1.0154867256637168,1211.0,2.6792035398230087,33.95,-118.12
3.4028,33,3.9106382978723406,0.8851063829787233,724.0,3.0808510638297872,33.93,-117.47
2.75,41,5.666666666666667,1.0726072607260726,855.0,2.8217821782178216,37.75,-121.43
5.1647,5,5.942942942942943,0.9984984984984985,2456.0,3.6876876876876876,34.04,-117.5
6.057,21,6.674358974358975,1.035897435897436,1350.0,3.4615384615384617,33.85,-117.82
5.4225,17,5.401215805471125,0.9969604863221885,1235.0,3.7537993920972643,37.39,-121.86
3.525,34,4.296296296296297,0.8950617283950617,398.0,2.45679012345679,37.63,-122.49
3.2639,22,5.5046728971962615,0.9065420560747663,338.0,3.1588785046728973,40.57,-122.35
4.4391,14,5.280561122244489,1.034068136272545,1150.0,2.3046092184368736,33.68,-117.8
2.5224,19,3.5606299212598427,1.0110236220472442,3545.0,5.582677165354331,33.74,-117.88
2.0089,52,4.2727272727272725,1.217008797653959,1238.0,3.63049853372434,34.1,-117.31
4.0481,52,6.57421875,1.0390625,646.0,2.5234375,34.14,-117.29
0.8991,42,4.689922480620155,1.1317829457364341,945.0,3.6627906976744184,32.7,-117.13
0.536,33,4.928571428571429,2.0,47.0,3.357142857142857,37.44,-121.31
3.3917,25,4.7701149425287355,1.3103448275862069,368.0,2.1149425287356323,37.38,-122.08
