iter	Logloss
0	0.6701971507
1	0.6505057579
2	0.6335131009
3	0.6197726451
4	0.6078580952
5	0.5988723005
6	0.5913944559
7	0.5835895314
8	0.5777991414
9	0.5722589349
10	0.5662852692
11	0.5618133139
12	0.5569367495
13	0.5534847571
14	0.5495670971
15	0.5469998867
16	0.5437495581
17	0.5410834211
18	0.537631756
19	0.535762903
20	0.5335390406
21	0.5315404802
22	0.5292136278
23	0.5268590365
24	0.524331276
25	0.5232498852
26	0.5178186462
27	0.5167530945
28	0.5150099994
29	0.513489649
30	0.5115661569
31	0.5104796217
32	0.5091952091
33	0.5079063061
34	0.5066685076
35	0.505746263
36	0.5047989635
37	0.5040988174
38	0.5033893653
39	0.5025846842
40	0.5020793124
41	0.5011759066
42	0.5006845361
43	0.499698117
44	0.4991411975
45	0.4986356178
46	0.4978825355
47	0.4974384268
48	0.4966688364
49	0.4962959998
50	0.4956940634
51	0.4951887672
52	0.4947416029
53	0.4941846816
54	0.4938198268
55	0.4934288036
56	0.4927823659
57	0.492239266
58	0.491913315
59	0.4915877821
60	0.4912312123
61	0.490715819
62	0.490466859
63	0.4901995562
64	0.4899007766
65	0.4896155831
66	0.4893833258
67	0.4891485057
68	0.4889301868
69	0.4886561214
70	0.4880453128
71	0.4878427732
72	0.4876599778
73	0.4873440195
74	0.4871996656
75	0.4867034722
76	0.4865357237
77	0.4862550114
78	0.48597539
79	0.4857466449
80	0.4855671765
81	0.4846638261
82	0.4844490353
83	0.4840024077
84	0.4836596843
85	0.4834902707
86	0.4833386977
87	0.4832088336
88	0.4830030652
89	0.4828652095
90	0.4827070471
91	0.4825548667
92	0.4823892734
93	0.4819278939
94	0.4817544799
95	0.481635127
96	0.4814301142
97	0.4809992699
98	0.4808667915
99	0.4807605814
100	0.4805207769
101	0.4803306191
102	0.4791180985
103	0.4789583854
104	0.478839988
105	0.478650498
106	0.478476578
107	0.4780703349
108	0.4778903273
109	0.4776139771
110	0.4774723864
111	0.4773250368
112	0.4772080705
113	0.4770639709
114	0.4749056971
115	0.4748234894
116	0.4747022009
117	0.4742363343
118	0.4741297861
119	0.4739516609
120	0.4738614171
121	0.4737201395
122	0.4735870751
123	0.4734819886
124	0.4732906123
125	0.4731688157
126	0.4730459477
127	0.4729339086
128	0.4727899836
129	0.472709926
130	0.4726181864
131	0.4725133198
132	0.4724045855
133	0.4722490744
134	0.4720785443
135	0.4716731856
136	0.4682758865
137	0.468118172
138	0.4679776355
139	0.4655826242
140	0.4654681281
141	0.4650741401
142	0.4649371419
143	0.4648133037
144	0.4647416931
145	0.4645934001
146	0.464308043
147	0.4639709566
148	0.4638469571
149	0.4634747907
150	0.4632667748
151	0.4632149619
152	0.4631000683
153	0.4630150794
154	0.4629332214
155	0.4628542852
156	0.4628004112
157	0.4627229202
158	0.4625129901
159	0.4618398335
160	0.4590192306
161	0.4589135245
162	0.4588216464
163	0.4587083051
164	0.4586318153
165	0.4585572983
166	0.4584696859
167	0.4583996579
168	0.4583099926
169	0.4582034193
170	0.4581079717
171	0.4579277809
172	0.4578346338
173	0.4577085723
174	0.4576089189
175	0.4574948451
176	0.4574189709
177	0.4572990888
178	0.4572104769
179	0.4570426588
180	0.4569632436
181	0.4568273903
182	0.4567154117
183	0.4566293881
184	0.4565080183
185	0.4563920368
186	0.4562976131
187	0.4562173247
188	0.4561382335
189	0.4560180105
190	0.4559328463
191	0.4558513929
192	0.4557554217
193	0.4556511975
194	0.4555343346
195	0.4537846848
196	0.4535264613
197	0.4532374734
198	0.4531238122
199	0.4530234134
200	0.4529303139
201	0.4528278064
202	0.4526940685
203	0.452611693
204	0.4525339517
205	0.452418256
206	0.4523062001
207	0.4521998939
208	0.452104089
209	0.4519619101
210	0.4518157118
211	0.4516840571
212	0.4516369757
213	0.4514695278
214	0.4513557676
215	0.4512125988
216	0.4510789231
217	0.4509569653
218	0.4507957326
219	0.4506372228
220	0.4505082679
221	0.4504017991
222	0.4501948691
223	0.4500834588
224	0.4499701408
225	0.4498858983
226	0.4497457472
227	0.4496581914
228	0.4490817557
229	0.448962389
230	0.4488501155
231	0.4487320455
232	0.4486512501
233	0.4484717342
234	0.446661714
235	0.4465578376
236	0.4464109378
237	0.4462585065
238	0.4460134595
239	0.4458658612
240	0.4457553837
241	0.4456301034
242	0.4454939639
243	0.445408573
244	0.4452906979
245	0.445124417
246	0.4449757526
247	0.4448151798
248	0.4447238582
249	0.4446041432
250	0.4444952098
251	0.4443864125
252	0.4442374741
253	0.4441177511
254	0.4435961258
255	0.443445546
256	0.443280003
257	0.4432079125
258	0.4430921236
259	0.4429915054
260	0.4428533015
261	0.4427709851
262	0.4426969669
263	0.4426068098
264	0.4425076838
265	0.4423864142
266	0.442317972
267	0.4420147612
268	0.4419563451
269	0.4418179463
270	0.4416577948
271	0.4415302168
272	0.4413092514
273	0.4412043158
274	0.4409780466
275	0.439038325
276	0.4389177629
277	0.4387915769
278	0.438697832
279	0.4386327847
280	0.4384960049
281	0.4384187464
282	0.4383196028
283	0.4382581422
284	0.4381328213
285	0.4380226261
286	0.4379357759
287	0.4375724979
288	0.4374549
289	0.4373762195
290	0.4372859605
291	0.4372369012
292	0.4371678083
293	0.4370594366
294	0.4369877517
295	0.436843607
296	0.4367685677
297	0.4366760503
298	0.4365611101
299	0.4364310741
300	0.4363538112
301	0.4362319981
302	0.4361003477
303	0.4359963298
304	0.4358936126
305	0.4356481975
306	0.4355583781
307	0.4354715427
308	0.4354402565
309	0.4353666258
310	0.4350447361
311	0.435003761
312	0.4348813983
313	0.4347575868
314	0.4346311686
315	0.434528805
316	0.434374029
317	0.4342565951
318	0.4341529732
319	0.4340265311
320	0.4339249319
321	0.4338220987
322	0.4337288525
323	0.43283842
324	0.4326708036
325	0.432560289
326	0.4324325582
327	0.4323101188
328	0.4321993892
329	0.4320956924
330	0.4320429692
331	0.4319090947
332	0.4318082514
333	0.4316828722
334	0.431575132
335	0.4314715676
336	0.4313557853
337	0.4312622903
338	0.4311480691
339	0.4310326613
340	0.4308856294
341	0.4308088752
342	0.430753656
343	0.430611323
344	0.4305001902
345	0.430390017
346	0.4301977469
347	0.4300010979
348	0.4299159091
349	0.4298305086
350	0.4297300182
351	0.4296083369
352	0.4295184548
353	0.4294336942
354	0.4290482697
355	0.4289372001
356	0.4288282352
357	0.4287471849
358	0.428680863
359	0.4285892396
360	0.428526364
361	0.4284273238
362	0.4283041953
363	0.4282668142
364	0.4281531612
365	0.4280196023
366	0.4279061532
367	0.4278144585
368	0.4276519566
369	0.4275791787
370	0.4274428619
371	0.4273353375
372	0.4272368277
373	0.427222892
374	0.427092215
375	0.4269870069
376	0.4269693709
377	0.4268808732
378	0.4267034312
379	0.4266133174
380	0.4264606138
381	0.426376978
382	0.426269993
383	0.4261785996
384	0.4260434973
385	0.4259490757
386	0.4258604325
387	0.4257661095
388	0.4257499328
389	0.4256619084
390	0.4255828735
391	0.4254796302
392	0.4253751942
393	0.4252646565
394	0.4251799982
395	0.4251738777
396	0.425100691
397	0.4250096059
398	0.4249572602
399	0.4248610022
400	0.4248125156
401	0.4244393049
402	0.424367444
403	0.424158439
404	0.4240558754
405	0.4240047807
406	0.4239102453
407	0.4238206225
408	0.4237442247
409	0.4236773287
410	0.4235724208
411	0.4235120247
412	0.4234135884
413	0.4233559938
414	0.4232160035
415	0.423127114
416	0.422997619
417	0.4229491351
418	0.4228567681
419	0.4227836525
420	0.4226763474
421	0.4226122213
422	0.4225074212
423	0.4224461965
424	0.4223534991
425	0.4222903746
426	0.42215375
427	0.4218353056
428	0.4210544821
429	0.4209650118
430	0.4209008009
431	0.4208275111
432	0.420689683
433	0.4205860027
434	0.4205191101
435	0.4204246919
436	0.4203561752
437	0.4202258661
438	0.4201368147
439	0.4200123096
440	0.4199529934
441	0.4198606381
442	0.4197939779
443	0.4197363283
444	0.4196382887
445	0.4195292212
446	0.419444675
447	0.4193769342
448	0.4193157046
449	0.4192468861
450	0.4191740317
451	0.4190800596
452	0.4189988871
453	0.4189536903
454	0.4188407916
455	0.4187305565
456	0.4186419592
457	0.4185742459
458	0.418479398
459	0.4183972521
460	0.4183238035
461	0.4182690722
462	0.418179327
463	0.4181069769
464	0.4180547294
465	0.4180519405
466	0.4180124979
467	0.4179174098
468	0.4178386438
469	0.4177557756
470	0.4176810511
471	0.41755461
472	0.4174578168
473	0.4173566746
474	0.4172863693
475	0.4166471382
476	0.4165739007
477	0.4164704943
478	0.4163749144
479	0.416319969
480	0.4161922858
481	0.4161468709
482	0.4160565008
483	0.4159174594
484	0.415539634
485	0.4152798141
486	0.4152018915
487	0.4151046918
488	0.4150283932
489	0.4149370964
490	0.4148333563
491	0.414728128
492	0.4146441164
493	0.4141687515
494	0.4140707894
495	0.4140171358
496	0.4139699897
497	0.4138802289
498	0.4137814115
499	0.4137006702
500	0.4136536289
501	0.4135796243
502	0.4135140617
503	0.4134439833
504	0.41335305
505	0.4132852667
506	0.4132108161
507	0.4131164517
508	0.4130423723
509	0.4129337043
510	0.4128292056
511	0.4127620206
512	0.412701308
513	0.4126336385
514	0.4125918746
515	0.4125197089
516	0.4124548262
517	0.4123725779
518	0.412283412
519	0.4121943948
520	0.4120980332
521	0.4120029855
522	0.4119768954
523	0.4118515084
524	0.4117305683
525	0.4116378244
526	0.411543779
527	0.4114402856
528	0.4113895085
529	0.4113459524
530	0.4112383262
531	0.4111443329
532	0.4110365932
533	0.4109635905
534	0.4108799388
535	0.410791664
536	0.41065268
537	0.4105708043
538	0.41049529
539	0.4104187943
540	0.4103315798
541	0.4102404796
542	0.4101706308
543	0.4101033468
544	0.4100715492
545	0.4100169772
546	0.409963134
547	0.4095438874
548	0.409480648
549	0.409385694
550	0.4093533619
551	0.4092906365
552	0.4092174432
553	0.4091538933
554	0.4090852757
555	0.4090239477
556	0.4089623489
557	0.4088908599
558	0.4088189515
559	0.4087191012
560	0.4086237994
561	0.4085442188
562	0.4084984499
563	0.4084009364
564	0.4083152197
565	0.4082038486
566	0.4081277342
567	0.4080353737
568	0.4079551851
569	0.4078835317
570	0.4077959939
571	0.4077251432
572	0.4076474073
573	0.4075517515
574	0.4074879228
575	0.4074131137
576	0.4073445488
