,scaled_input_fLength:,scaled_input_fWidth:,scaled_input_fSize:,scaled_input_fConc:,scaled_input_fConc1:,scaled_input_fAsym:,scaled_input_fM3Long:,scaled_input_fM3Trans:,scaled_input_fAlpha:,scaled_input_fDist:,scaled_input_target,origin_input_fLength:,origin_input_fWidth:,origin_input_fSize:,origin_input_fConc:,origin_input_fConc1:,origin_input_fAsym:,origin_input_fM3Long:,origin_input_fM3Trans:,origin_input_fAlpha:,origin_input_fDist:,origin_input_target,scaled_cf_fLength:,scaled_cf_fWidth:,scaled_cf_fSize:,scaled_cf_fConc:,scaled_cf_fConc1:,scaled_cf_fAsym:,scaled_cf_fM3Long:,scaled_cf_fM3Trans:,scaled_cf_fAlpha:,scaled_cf_fDist:,scaled_cf_target,origin_cf_fLength:,origin_cf_fWidth:,origin_cf_fSize:,origin_cf_fConc:,origin_cf_fConc1:,origin_cf_fAsym:,origin_cf_fM3Long:,origin_cf_fM3Trans:,origin_cf_fAlpha:,origin_cf_fDist:,origin_cf_target,running_time,Found,ground_truth,prediction
0,0.08141688150872932,0.036298960145408024,0.2166173861620343,0.5267704899397522,0.4370975341605151,0.4922531326584843,0.6265243436915199,0.5227765338667417,0.5996322222222222,0.10972540980953245,1.0,31.142399999999995,9.3064,2.6739,0.4767,0.2786,-3.7894000000000205,21.094799999999992,-4.235900000000018,53.966899999999995,55.5175,1.0,0.08141688150872932,0.036298960145408024,0.2166173861620343,0.5267704899397522,0.4370975341605151,0.4922531326584843,0.154505,0.5227765338667417,0.01548577592,0.10972540980953245,N,31.142399999999995,9.3064,2.6739,0.4767,0.2786,-3.7894000000000205,-244.75876687,-4.235900000000018,1.3937198328,55.5175,N,0.0241239070892334,Y,1.0,Y
0,0.08141688150872932,0.036298960145408024,0.2166173861620343,0.5267704899397522,0.4370975341605151,0.4922531326584843,0.6265243436915199,0.5227765338667417,0.5996322222222222,0.10972540980953245,1.0,31.142399999999995,9.3064,2.6739,0.4767,0.2786,-3.7894000000000205,21.094799999999992,-4.235900000000018,53.966899999999995,55.5175,1.0,0.08141688150872932,0.1,0.2166173861620343,0.04429182,0.00120726,0.4922531326584843,0.6265243436915199,0.2706637,0.44587090229,0.10972540980953245,N,31.142399999999995,25.6382,2.6739,0.052263514054,0.001068662442,-3.7894000000000205,21.094799999999992,-101.48734157891,40.128381206099995,55.5175,N,0.03593921661376953,Y,1.0,Y
0,0.08141688150872932,0.036298960145408024,0.2166173861620343,0.5267704899397522,0.4370975341605151,0.4922531326584843,0.6265243436915199,0.5227765338667417,0.5996322222222222,0.10972540980953245,1.0,31.142399999999995,9.3064,2.6739,0.4767,0.2786,-3.7894000000000205,21.094799999999992,-4.235900000000018,53.966899999999995,55.5175,1.0,0.08141688150872932,0.036298960145408024,0.2166173861620343,0.5267704899397522,0.4370975341605151,0.4922531326584843,0.5296741,0.5227765338667417,0.08029305642,0.96571329,N,31.142399999999995,9.3064,2.6739,0.4767,0.2786,-3.7894000000000205,-33.45377535339996,-4.235900000000018,7.226375077799999,478.6138198399359,N,0.02694869041442871,Y,1.0,Y
0,0.08141688150872932,0.036298960145408024,0.2166173861620343,0.5267704899397522,0.4370975341605151,0.4922531326584843,0.6265243436915199,0.5227765338667417,0.5996322222222222,0.10972540980953245,1.0,31.142399999999995,9.3064,2.6739,0.4767,0.2786,-3.7894000000000205,21.094799999999992,-4.235900000000018,53.966899999999995,55.5175,1.0,0.08141688150872932,0.1,0.2166173861620343,0.5267704899397522,0.4370975341605151,0.4922531326584843,0.6265243436915199,0.5227765338667417,0.0097716637,0.57757656,N,31.142399999999995,25.6382,2.6739,0.4767,0.2786,-3.7894000000000205,21.094799999999992,-4.235900000000018,0.8794497330000001,286.76621795430395,N,0.029058218002319336,Y,1.0,Y
0,0.08141688150872932,0.036298960145408024,0.2166173861620343,0.5267704899397522,0.4370975341605151,0.4922531326584843,0.6265243436915199,0.5227765338667417,0.5996322222222222,0.10972540980953245,1.0,31.142399999999995,9.3064,2.6739,0.4767,0.2786,-3.7894000000000205,21.094799999999992,-4.235900000000018,53.966899999999995,55.5175,1.0,0.08141688150872932,0.9,0.834314831,0.5267704899397522,0.4370975341605151,0.4922531326584843,0.6265243436915199,0.5227765338667417,0.41808102133,0.10972540980953245,N,31.142399999999995,230.74380000000002,4.762952758442,0.4767,0.2786,-3.7894000000000205,21.094799999999992,-4.235900000000018,37.6272919197,55.5175,N,0.029908180236816406,Y,1.0,Y
0,0.04132394242384285,0.03964435880834068,0.14526907155529267,0.671478913265886,0.5548924140097377,0.5198650562123062,0.603743967785578,0.5280979152846034,0.11113111111111111,0.44634784769069424,1.0,17.916000000000004,10.1641,2.4326,0.604,0.3536,21.68390000000003,8.264299999999993,-2.183199999999984,10.0018,221.9027,1.0,0.04132394242384285,0.8,0.14526907155529267,0.671478913265886,0.5548924140097377,0.5198650562123062,0.603743967785578,0.5280979152846034,0.11113111111111111,0.44634784769069424,Y,17.916000000000004,205.1056,2.4326,0.604,0.3536,21.68390000000003,8.264299999999993,-2.183199999999984,10.0018,221.9027,Y,0.025079965591430664,N,1.0,N
0,0.04132394242384285,0.03964435880834068,0.14526907155529267,0.671478913265886,0.5548924140097377,0.5198650562123062,0.603743967785578,0.5280979152846034,0.11113111111111111,0.44634784769069424,1.0,17.916000000000004,10.1641,2.4326,0.604,0.3536,21.68390000000003,8.264299999999993,-2.183199999999984,10.0018,221.9027,1.0,0.04132394242384285,0.03964435880834068,0.14526907155529267,0.671478913265886,0.5548924140097377,0.5198650562123062,0.603743967785578,0.007516,0.11113111111111111,0.44634784769069424,Y,17.916000000000004,10.1641,2.4326,0.604,0.3536,21.68390000000003,8.264299999999993,-202.99543531880002,10.0018,221.9027,Y,0.024996280670166016,N,1.0,N
0,0.04132394242384285,0.03964435880834068,0.14526907155529267,0.671478913265886,0.5548924140097377,0.5198650562123062,0.603743967785578,0.5280979152846034,0.11113111111111111,0.44634784769069424,1.0,17.916000000000004,10.1641,2.4326,0.604,0.3536,21.68390000000003,8.264299999999993,-2.183199999999984,10.0018,221.9027,1.0,0.04132394242384285,0.03964435880834068,0.14526907155529267,0.7639621,0.5548924140097377,0.5198650562123062,0.603743967785578,0.5280979152846034,0.43899436365,0.44634784769069424,Y,17.916000000000004,10.1641,2.4326,0.68535745937,0.3536,21.68390000000003,8.264299999999993,-2.183199999999984,39.5094927285,221.9027,Y,0.024729013442993164,N,1.0,N
0,0.04132394242384285,0.03964435880834068,0.14526907155529267,0.671478913265886,0.5548924140097377,0.5198650562123062,0.603743967785578,0.5280979152846034,0.11113111111111111,0.44634784769069424,1.0,17.916000000000004,10.1641,2.4326,0.604,0.3536,21.68390000000003,8.264299999999993,-2.183199999999984,10.0018,221.9027,1.0,0.04132394242384285,0.03964435880834068,0.712526573,0.671478913265886,0.5548924140097377,0.1530049,0.603743967785578,0.5280979152846034,0.11113111111111111,0.44634784769069424,Y,17.916000000000004,10.1641,4.351064869886,0.604,0.3536,-316.76187321921,8.264299999999993,-2.183199999999984,10.0018,221.9027,Y,0.02464890480041504,N,1.0,N
0,0.04132394242384285,0.03964435880834068,0.14526907155529267,0.671478913265886,0.5548924140097377,0.5198650562123062,0.603743967785578,0.5280979152846034,0.11113111111111111,0.44634784769069424,1.0,17.916000000000004,10.1641,2.4326,0.604,0.3536,21.68390000000003,8.264299999999993,-2.183199999999984,10.0018,221.9027,1.0,0.04132394242384285,0.03964435880834068,0.299026245,0.671478913265886,0.5548924140097377,0.5198650562123062,0.603743967785578,0.5280979152846034,0.11113111111111111,0.44634784769069424,Y,17.916000000000004,10.1641,2.95260676059,0.604,0.3536,21.68390000000003,8.264299999999993,-2.183199999999984,10.0018,221.9027,Y,0.024415016174316406,N,1.0,N
